,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
5533,Smart Energy Water,2.9,199,1.6k,IT Services & Consulting,Noida +4 other locations,,"Company Culture, Work Satisfaction, Promotions / Appraisal"
5534,CIMS Hospital,4.2,198,603,Healthcare,Ahmedabad +19 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
5535,Avis,3.7,198,654,Internet,Gurugram +19 other locations,Salary & Benefits,"Promotions / Appraisal, Skill Development / Learning"
5536,Logicon Facility Management,3.3,198,733,Facility Management Services,Pune +14 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5537,Energy Efficiency Services,3.8,198,756,Power,New Delhi +35 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5538,ReGen Powertech,3.7,198,430,Power,Chennai +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
5539,Corrival Corporate Services,4.2,198,491,Recruitment,Hyderabad +43 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
5540,Enmas O & M Services,4.2,198,643,Oil & Gas,Chennai +32 other locations,"Work Life Balance, Job Security, Company Culture",
5541,Sanmar Group,3.7,197,828,Chemicals,Chennai +19 other locations,Job Security,"Promotions / Appraisal, Company Culture"
5542,TomTom,4.0,198,947,IT Services & Consulting,Pune +2 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
5543,IDBI Capital,3.6,198,863,Financial Services,Mumbai +40 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5544,PEARCE SERVICES,3.3,198,1k,Telecom,Sahibzada Ajit Singh Nagar +12 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
5545,WinWire,3.2,198,1.6k,IT Services & Consulting,Hyderabad +4 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
5546,Volksoft Technologies,4.2,198,165,Software Product,Hyderabad +2 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
5547,Rishabh Instruments Limited,3.7,198,722,Electronics Manufacturing,Nashik +16 other locations,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
5548,Embio,3.9,199,875,Pharma,Mahad +10 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
5549,Kalyan Toll Infrastructure,4.2,198,677,Engineering & Construction,Indore +36 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
5550,Thejo Engineering,4.0,198,911,Engineering & Construction,Chennai +34 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
5551,Comcast India Engineering Center,3.7,198,2.2k,Software Product,Chennai +3 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
5552,dsm-firmenich,4.1,198,1.1k,Biotechnology,Mumbai +17 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
5553,IIMT Group of Colleges,4.2,199,564,Education & Training,Greater Noida +15 other locations,"Work Life Balance, Job Security, Company Culture",
5554,ECOS (I) MOBILITY & HOSPITALITY,4.0,198,441,Sports & Recreation,New Delhi +12 other locations,"Company Culture, Salary & Benefits",Job Security
5555,Arihant Superstructures,3.6,198,640,Real Estate,Mumbai +6 other locations,,"Company Culture, Promotions / Appraisal, Salary & Benefits"
5556,Taikisha Engineering India,3.9,198,1.1k,Industrial Machinery,Pune +13 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
5557,JSW Severfield Structures,3.8,198,789,Engineering & Construction,Ballari +10 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
5558,Symphoni HR,4.0,198,334,Recruitment,Mumbai +1 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
5559,Caretel Infotech,3.4,197,442,Analytics & KPO,New Delhi +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5560,Saudi Electricity Company,4.1,197,363,Power,Riyadh +20 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
5561,Paychex IT Solutions India,3.3,198,1k,Software Product,Bengaluru +3 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
5562,Globus Spirits,3.9,197,896,Beverage,New Delhi +27 other locations,Salary & Benefits,Promotions / Appraisal
5563,TechStar Group,4.2,197,968,IT Services & Consulting,Hyderabad +9 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
5564,The Cosmos Co-operative Bank,3.5,197,955,Banking,Pune +25 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
5565,MBL Infrastructure Limited,3.7,200,506,Engineering & Construction,New Delhi +22 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
5566,Puthur Infotech,3.6,197,705,IT Services & Consulting,Bengaluru +50 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5567,Dalmia-OCL,3.8,197,575,Building Material,Rourkela +30 other locations,"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal"
5568,Bharat Institutions,3.3,197,178,Education & Training,Hyderabad +7 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
5569,Hy Gro Chemicals Pharmtek,3.9,197,676,Pharma,Hyderabad +8 other locations,"Work Life Balance, Salary & Benefits",Skill Development / Learning
5570,Elin Electronics,3.9,197,693,Ghaziabad +10 other locations,,Skill Development / Learning,Promotions / Appraisal
5571,Dollar Industries,3.5,197,789,Fashion & Textile,Kolkata +33 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
5572,Loconav,3.0,197,1.2k,Software Product,Gurugram +10 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
5573,Doubletree By Hilton,4.0,197,537,Hospitality,New Delhi +21 other locations,"Job Security, Skill Development / Learning, Company Culture",
5574,Wingreens Farms,4.0,197,823,Power,Gurugram +21 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
5575,Rajapushpa Properties,3.8,197,896,Real Estate,Hyderabad +5 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
5576,Adhaan Solutions,3.8,197,614,Recruitment,Ahmedabad +63 other locations,,"Promotions / Appraisal, Job Security"
5577,S.S. Kothari Mehta & Co,3.3,197,816,Accounting & Auditing,New Delhi +7 other locations,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
5578,Lakshmi Life Sciences,3.9,197,999,Industrial Automation,Coimbatore +5 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
5579,Mashreq Bank,3.1,197,1.2k,Banking,Bengaluru +11 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
5580,Itvedant Education,3.9,197,435,Education & Training,Mumbai +10 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
5581,N.K. Realtors,4.2,197,484,Real Estate,Kolkata +6 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
5582,KC Overseas Education,3.6,197,971,EdTech,Nagpur +28 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
5583,DGS Technical Services,3.1,197,861,Design,Bengaluru +10 other locations,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
5584,Army Medical Corps,4.8,197,649,Healthcare,New Delhi +33 other locations,"Job Security, Work Life Balance, Work Satisfaction",
5585,Exel Rubber,4.0,197,779,Petrochemicals,Hyderabad +9 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
5586,MKU,3.4,197,701,Defence & Aerospace,Kanpur +10 other locations,,"Company Culture, Promotions / Appraisal, Work Life Balance"
5587,Cloud Analogy,3.9,212,1.4k,IT Services & Consulting,Noida +11 other locations,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",Job Security
5588,Entertainment Network India,3.5,198,1k,Media & Entertainment,Mumbai +42 other locations,Company Culture,"Promotions / Appraisal, Job Security, Salary & Benefits"
5589,Black & Veatch,4.1,196,978,Engineering & Construction,Mumbai +13 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
5590,Revolt Motors,3.3,196,751,Internet,Gurugram +23 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
5591,E Pack Polymers,3.8,196,823,Packaging,Greater Noida +18 other locations,,Job Security
5592,India Pesticides,3.9,196,781,Agro Chemicals,Lucknow +22 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
5593,Hospet Steels,3.6,196,807,Iron & Steel,Hosapete +9 other locations,Job Security,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
5594,Maahi Milk Producer Company,4.1,196,496,Food Processing,Rajkot +29 other locations,"Company Culture, Job Security, Work Life Balance",
5595,Pilot Industries,3.5,196,949,Metals & Mining,New Delhi +20 other locations,,"Company Culture, Job Security, Promotions / Appraisal"
5596,GKC Projects,4.4,196,439,Engineering & Construction,Hyderabad +26 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
5597,Amelia,3.4,192,794,Bengaluru +5 other locations,,,"Promotions / Appraisal, Company Culture, Job Security"
5598,Dishnet Wireless,4.3,196,373,Telecom,Kolkata +43 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
5599,Canvera,3.7,196,625,Printing & Publishing,Bengaluru +28 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
5600,Dayal Fertilizers,3.8,196,418,Agro Chemicals,Meerut +48 other locations,Company Culture,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
